SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosages Description,Use For,DAR
364,Albion Laboratories Ltd.,JNeo-Al 50% (Vet),Neomycin Sulphate,50 gm/100 gm,Powder,Veterinary,096-0471-077
365,Albion Laboratories Ltd.,Oxyclozid (Vet),Oxyclozanide,1 gm,Bolus,Veterinary,096-0472-077
366,Albion Laboratories Ltd.,Neema (Vet),Furosemide,2 gm,Bolus,Veterinary,096-0473-077
367,Albion Laboratories Ltd.,Niclomid (Vet),Niclosamide,1 gm,Bolus,Veterinary,096-0474-077
368,Albion Laboratories Ltd.,Bacti-Out Vet,Bromhexine + Erythromycin + Neomycin + Sulfadimidine + Trimethoprim,1.5 mg + 25 mg + 35 mg + 100 mg + 18 mg,Powder,Veterinary,096-0494-077
369,Albion Laboratories Ltd.,Albidex S Vet,Levamisole + Triclabendazole,150 mg + 225 mg,Bolus,Veterinary,096-0485-077
370,Albion Laboratories Ltd.,Albidex DS Vet,Levamisole + Triclabendazole,1.2 gm + 1.8 gm,Bolus,Veterinary,096-0496-077
371,Albion Laboratories Ltd.,Tilcofast vet,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,096-0504-077
372,Albion Laboratories Ltd.,FENICOL Vet Oral Solution,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,096-0514-077
373,Albion Laboratories Ltd.,Alvit Z Syrup,Nicotinamide + Pyridoxine Hydrochloride + Riboflavine Sodium Phosphate + Thiamine Hydrochloride + Zinc Sulphate Monohydrate,400 mg + 800 mg + 150 mg + 500 mg + 2 gm/100 ml,Liquid,Veterinary,096-0095-077
374,Albion Laboratories Ltd.,FXN (Vet) Inj 10 ml,Flunixin,500 mg/10 ml,Injection,Veterinary,096-0543-077
375,Albion Laboratories Ltd.,Marcin Vet Inj 10 ml,Marbofloxacin,1 gm/10 ml,Injection,Veterinary,096-0544-077
376,Albion Laboratories Ltd.,Tolcid Vet Inj 10 ml,Tolfenamic Acid,400 mg/10 ml,Injection,Veterinary,096-0545-077
377,Albion Laboratories Ltd.,Carpro-AL Vet,Carprofen,100 mg,Bolus,Veterinary,096-0555-077
378,Albion Laboratories Ltd.,Carpro-Al 500 Vet,Carprofen,500 mg,Bolus,Veterinary,096-0556-077
379,Albion Laboratories Ltd.,MXP Vet,Meloxicam + Paracetamol,100 mg + 1500 mg,Bolus,Veterinary,096-0557-077
380,Albion Laboratories Ltd.,Soda Boost,Sodium Bicarbonate,84 mg/ml,Injection,Veterinary,096-0560-077
381,Alkad Laboratories,Vet-C (Vet),Vitamin C,1 gm/gm,Powder,Veterinary,178-0057-077
382,Alkad Laboratories,LH Vet (Vet),Levamisole,30%,Powder,Veterinary,178-0056-077
383,Alkad Laboratories,Glu Plus (Vet),Anhydrous Glucose + Vitamin C,98 gm + 2 gm/100 gm,Powder,Veterinary,178-0058-077
384,Aristopharma Limited,Coctreat EP (Vet),Amprolium + Ascorbic Acid + Ethopabate + Mendione Sodium Bisulphite (Vitamin-K) + Sulphaquinoxaline,100 mg + 20 mg + 5 mg + 2 mg + 60 mg/gm,Powder,Veterinary,143-1306-077
385,Al-Madina Pharmaceuticals Ltd.,Tylotrat 20 20%,Tylosin,20 gm/100 gm,Powder,Veterinary,294-0004-077
386,Al-Madina Pharmaceuticals Ltd.,Almolin Vet 30%,Amoxicillin,30%,Powder,Veterinary,294-0006-077
387,Al-Madina Pharmaceuticals Ltd.,Alcipro Solution,Ciprofloxacin,10 gm,Solution,Veterinary,294-0007-077
388,Al-Madina Pharmaceuticals Ltd.,Trimosul,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,294-0008-077
389,Al-Madina Pharmaceuticals Ltd.,Altetra,Oxytetracycline,500 mg,Bolus,Veterinary,294-0009-077
390,Al-Madina Pharmaceuticals Ltd.,Altetra,Oxytetracycline,20%,Powder,Veterinary,294-0010-077
391,Al-Madina Pharmaceuticals Ltd.,Alvasol,Levamisole,46 gm/100 gm,Powder,Veterinary,294-0011-077
392,Al-Madina Pharmaceuticals Ltd.,Al-Doxil (Vet),Doxycycline,100 mg/gm,Powder,Veterinary,294-0012-077
393,Al-Madina Pharmaceuticals Ltd.,Cocsomix PLUS,Sodium Sulfachloropyridazine + Trimethoprim,10 gm + 2 gm/100 gm,Powder,Veterinary,294-0013-077
394,Al-Madina Pharmaceuticals Ltd.,Wormfree,Albendazole,600 mg,Bolus,Veterinary,294-0014-077
395,Al-Madina Pharmaceuticals Ltd.,Al-Sulpha,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,294-0015-077
396,Al-Madina Pharmaceuticals Ltd.,Hemorex,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),9.1 mg + 50 mg + 20 mg + 100 mg + 25 mg,Bolus,Veterinary,294-0016-077
397,Al-Madina Pharmaceuticals Ltd.,Helmacid,Piperazine,36 gm/100 gm,Powder,Veterinary,294-0017-077
398,Al-Madina Pharmaceuticals Ltd.,An - Worm Bolus Vet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,294-0008-077
399,Al-Madina Pharmaceuticals Ltd.,Alenrol Vet,Enrofloxacin,100 mg/ml,Solution,Veterinary,294-0018-077
400,Al-Madina Pharmaceuticals Ltd.,Alcocci Pow Vet,Sulfaclozine,30%,Powder,Veterinary,294-0019-077
401,Al-Madina Pharmaceuticals Ltd.,Promethazine,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,294-0023-077
402,Al-Madina Pharmaceuticals Ltd.,Ferum,Antimony Potassium Tartrate + Ferrous Sulphate,2 gm + 2 gm,Bolus,Veterinary,294-0024-077
403,Al-Madina Pharmaceuticals Ltd.,Amovet,Metronidazole,2 gm,Bolus,Veterinary,294-0025-077
404,Al-Madina Pharmaceuticals Ltd.,Alcipro,Ciprofloxacin,750 mg,Bolus,Veterinary,294-0035-077
405,Al-Madina Pharmaceuticals Ltd.,Alvasol,Levamisole,30%,Powder,Veterinary,294-0034-077
406,Al-Madina Pharmaceuticals Ltd.,NS-Vet,Neomycin Sulphate,50 gm/100 gm,Powder,Veterinary,294-0036-077
407,Al-Madina Pharmaceuticals Ltd.,Altetra-Vet LA,Oxytetracycline,200 mg/ml,Injection,Veterinary,294-0038-077
408,Al-Madina Pharmaceuticals Ltd.,Algenta-Vet,Gentamicin,100 mg/ml,Injection,Veterinary,294-0039-077
409,Al-Madina Pharmaceuticals Ltd.,Nitroworm-Vet,Nitroxynil,34 gm/100 ml,Injection,Veterinary,294-0040-077
410,Al-Madina Pharmaceuticals Ltd.,Hyvit ADE Vet,Vitamin A + Vitamin D3 + Vitamin E,500000 IU + 75000 IU + 50 mg/100 ml,Injection,Veterinary,294-0041-077
411,Al-Madina Pharmaceuticals Ltd.,Albu-Vet,Buparvaquone,50 mg/ml,Injection,Veterinary,294-0042-077
412,Al-Madina Pharmaceuticals Ltd.,Alhista Vet,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,294-0043-077
413,Al-Madina Pharmaceuticals Ltd.,Calplus Vet,Calcium Gluconate + Dextrose + Magnesium Hypophosphite,208 mg + 200 mg + 50 mg/ml,Injection,Veterinary,294-0044-077
414,Al-Madina Pharmaceuticals Ltd.,Al-molin Vet,Amoxicillin,500 mg,Bolus,Veterinary,294-0021-077
415,Al-Madina Pharmaceuticals Ltd.,Fatisol Vet,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,294-0045-077
416,Al-Madina Pharmaceuticals Ltd.,T-Zuril Vet,Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,294-0048-077
417,Al-Madina Pharmaceuticals Ltd.,Mexicam Bolus (Vet),Meloxicam,100 mg,Bolus,Veterinary,294-0047-077
418,Al-Madina Pharmaceuticals Ltd.,Set-3 Powder (Vet),Erythromycin Thiocyanate + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,Veterinary,294-0027-077
419,Al-Madina Pharmaceuticals Ltd.,Antifever Bolus (Vet),Paracetamol,2 gm,Bolus,Veterinary,294-0029-077
420,Al-Madina Pharmaceuticals Ltd.,Anticocci-K Powder (Vet),Diaverdin + Nicotinamide + Sulphadimethoxine Sodium + Sulphadimidine + Vitamin K,3 gm + 3 gm + 2 gm + 20 gm + 2 gm/100 gm,Powder,Veterinary,294-0030-077
421,Al-Madina Pharmaceuticals Ltd.,Sulmidine Bolus (Vet),Sulphadimidine,5 gm,Bolus,Veterinary,294-0031-077
422,Al-Madina Pharmaceuticals Ltd.,Tilvet Liquid,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,294-0049-077
423,Al-Madina Pharmaceuticals Ltd.,Hyzinc Vet,Zinc Sulphate Monohydrate,2 gm/100 ml,Liquid,Veterinary,294-0050-077
424,Al-Madina Pharmaceuticals Ltd.,SummerCool Powder (Vet),Acetylsalicylic Acid + Vitamin C,6.7 gm + 20 gm/100 gm,Powder,Veterinary,294-0051-077
425,Al-Madina Pharmaceuticals Ltd.,Glue-C Powder (Vet),Anhydrous Glucose + Vitamin C,98 gm + 2 gm/100 gm,Powder,Veterinary,294-0052-077
426,Al-Madina Pharmaceuticals Ltd.,Hyvit ES Liquid (Vet),Sodium Selenate + Vitamin E,50 mg + 10 gm/100 ml,Oral Solution,Veterinary,294-0053-077
427,Al-Madina Pharmaceuticals Ltd.,Asvit-C Powder (Vet),Vitamin C,1 gm/gm,Powder,Veterinary,294-0054-077
428,Al-Madina Pharmaceuticals Ltd.,Thiarip Powder (Vet),Pyridoxine Hydrochloride + Riboflavine-5-Phosphate + Thiamine Hydrochloride,.61 gm + 1.1 gm + 6 gm/100 gm,Powder,Veterinary,294-0055-077
429,Al-Madina Pharmaceuticals Ltd.,Apitazym Powder (Vet),Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,294-0056-077
430,Al-Madina Pharmaceuticals Ltd.,Hylyte Powder (Vet),Dextrose Anhydrous + Potassium Chloride + Sodium Bicarbonate + Sodium Chloride + Vitamin A,18 gm + 5 gm + 50 gm + 26.6 gm + 20 Lac IU,Powder,Veterinary,294-0058-077
431,Al-Madina Pharmaceuticals Ltd.,Hyzine + B,Nicotinamide + Pyridoxine Hydrochloride + Riboflavine Sodium Phosphate + Thiamine Hydrochloride + Zinc Sulphate Monohydrate,400 mg + 800 mg + 150 mg + 500 mg + 2 gm/100 ml,Liquid,Veterinary,294-0057-077
432,Al-Madina Pharmaceuticals Ltd.,Hyvit-BC (Vet),Ascorbic Acid + Biotin + Calcium Pantothenate + Dextrose Anhydrous + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavine Sodium Phosphate + Thiamine Hydrochloride + Vitamin B12,500 mg + 1.5 mg + 450 mg + 97.5 gm + 25 mg + 750 mg + 150 mg + 400 mg + 200 mg + 1 mg/100 gm,Powder,Veterinary,294-0059-077
433,Al-Madina Pharmaceuticals Ltd.,AMPO-VET Powder,Amprolium,20%,Powder,Veterinary,294-0070-077
434,Al-Madina Pharmaceuticals Ltd.,AL-CTC Vet,Chlortetracycline Hydrochloride,20 gm/100 gm,Powder,Veterinary,294-0068-077
435,Al-Madina Pharmaceuticals Ltd.,LV-Vet Powder,Levofloxacin,10 gm/100 gm,Oral Powder,Veterinary,294-0069-077
436,Al-Madina Pharmaceuticals Ltd.,Tylva-Vet Powder,Tylvalosin,62.5 gm/100 gm,Water Soluble Powder,Veterinary,294-0099-077
437,Al-Madina Pharmaceuticals Ltd.,Altiguard Vet Powder,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,294-0109-077
438,Al-Madina Pharmaceuticals Ltd.,Amovet Powder,Metronidazole,30 gm/100 gm,Water Soluble Powder,Veterinary,294-0110-077
439,Al-Madina Pharmaceuticals Ltd.,Gout-free,Allopurinol,5 gm/100 gm,Powder,Veterinary,294-0133-077
440,Al-Madina Pharmaceuticals Ltd.,Ivmec 1%,Ivermectin,1 gm/100 gm,Solution,Veterinary,294-0135-077
441,Al-Madina Pharmaceuticals Ltd.,AL-TDOX PLUS,Bromhexine Hydrochloride + Doxycycline + Tylosin Tartrate,2 gm + 20 gm + 10 gm/100 gm,Water Soluble Powder,Veterinary,294-0136-077
442,Al-Madina Pharmaceuticals Ltd.,Algenta -Vet,Gentamicin,20 gm/100 gm,Oral Powder,Veterinary,294-0137-077
443,Al-Madina Pharmaceuticals Ltd.,Alvasol,Levamisole,600 mg,Bolus,Veterinary,294-0138-077
444,Al-Madina Pharmaceuticals Ltd.,An-worm DS,Levamisole + Triclabendazole,1.2 gm + 1.8 gm,Bolus,Veterinary,294-0139-077
445,Al-Madina Pharmaceuticals Ltd.,An-worm ms,Levamisole + Triclabendazole,750 mg + 1.2 gm,Bolus,Veterinary,294-0140-077
446,Al-Madina Pharmaceuticals Ltd.,Triclaben Bolus (Vet),Triclabendazole,900 mg,Bolus,Veterinary,294-0157-077
447,Al-Madina Pharmaceuticals Ltd.,Hemorex DS,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),18.2 mg + 100 mg + 40 mcg + 200 mg + 50 mg,Bolus,Veterinary,294-0158-077
448,Al-Madina Pharmaceuticals Ltd.,Antifever Powder (Vet),Paracetamol,50 gm/100 gm,Water Soluble Powder,Veterinary,294-0154-077
449,Al-Madina Pharmaceuticals Ltd.,Altetra DS Bolus (Vet),Oxytetracycline,1 gm,Bolus,Veterinary,294-0155-077
450,Al-Madina Pharmaceuticals Ltd.,Al Zinc-Vet,Zinc,200 mg,Bolus,Veterinary,294-0156-077
451,Al-Madina Pharmaceuticals Ltd.,FC -Vet,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,294-0163-077
452,Al-Madina Pharmaceuticals Ltd.,Marboquin DS Vet,Marbofloxacin,100 mg,Bolus,Veterinary,294-0174-077
453,Al-Madina Pharmaceuticals Ltd.,Amiphin 500 IM,Ceftriaxone,500 mg/vial,Injection,Veterinary,294-0180-077
454,Advent Pharma Ltd.,Adrizol 600 mg,Albendazole,600 mg,Bolus,Veterinary,367-0001-077
455,Advent Pharma Ltd.,Adzyl 2 gm,Metronidazole,2 gm,Bolus,Veterinary,367-0002-077
456,Advent Pharma Ltd.,AD-Tetra 500mg,Oxytetracycline,500 mg,Bolus,Veterinary,367-0003-077
457,Advent Pharma Ltd.,Adcet,Paracetamol,2 gm,Bolus,Veterinary,367-0004-077
458,Advent Pharma Ltd.,Adprozin,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,367-0005-077
459,Advent Pharma Ltd.,Adsulph,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,367-0006-077
460,Advent Pharma Ltd.,Adminide,Oxyclozanide + Tetramisole Hydrochloride,1.4 gm + 2 gm,Bolus,Veterinary,367-0008-077
461,Advent Pharma Ltd.,Apetonic,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),9.1 mg + 50 mg + 20 mg + 100 mg + 25 mg,Bolus,Veterinary,367-0009-077
462,Advent Pharma Ltd.,Advomica,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,367-0010-077
463,Advent Pharma Ltd.,Adprolim Plus,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,367-0011-077
464,Advent Pharma Ltd.,AD-Tetra,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,367-0014-077
465,Advent Pharma Ltd.,Adrazin,Piperazine,100%,Powder,Veterinary,367-0015-077
466,Advent Pharma Ltd.,Adcipcin,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,367-0016-077
467,Advent Pharma Ltd.,Adquine,Flumequine,20 gm/100 ml,Solution,Veterinary,367-0017-077
468,Advent Pharma Ltd.,Advit-ADE,Vitamin A + Vitamin D3 + Vitamin E,1 Lac IU + 20000 IU + 20 mg/ml,Liquid,Veterinary,367-0018-077
469,Advent Pharma Ltd.,ADSEL-E,Sodium Selenate + Vitamin E,50 mg + 10 gm/100 ml,Oral Solution,Veterinary,367-0012-077
470,Advent Pharma Ltd.,Adcipcin,Ciprofloxacin,1 gm,Bolus,Veterinary,367-0019-077
471,Advent Pharma Ltd.,TCL VET,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,367-0021-077
472,Advent Pharma Ltd.,Neo Super,Neomycin Sulphate,50 gm/100 gm,Powder,Veterinary,367-0022-077
473,Advent Pharma Ltd.,Nor Super Oral Solution,Norfloxacine,100 mg/ml,Solution,Veterinary,367-0025-077
474,Advent Pharma Ltd.,Levo Super Oral Solution,Levofloxacin,10 gm/100 ml,Solution,Veterinary,367-0026-077
475,Advent Pharma Ltd.,Tilfos Oral Solution,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,367-0027-077
476,Advent Pharma Ltd.,Adcipcin Vet Injection,Ciprofloxacin,50 mg/ml,Injection,Veterinary,367-0029-077
477,Advent Pharma Ltd.,Advit AD3E,Vitamin A + Vitamin D3 + Vitamin E,5 Lac IU + 75000 IU + 50 mg/ml,Injection,Veterinary,367-0030-077
478,Advent Pharma Ltd.,Metaboost Vet,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,367-0031-077
479,Advent Pharma Ltd.,AD-Hista Vet Injection,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,367-0033-077
480,Advent Pharma Ltd.,Anti Bloat Suspension,Simethicone,1 gm/100 ml,Emulsion,Veterinary,367-0034-077
481,Advent Pharma Ltd.,Admisol Powder,Levamisole,30 gm/100 gm,Powder,Veterinary,367-0036-077
482,Advent Pharma Ltd.,Khura Vet,Sodium Carbonate,4 gm/100 ml,Solution,Veterinary,367-0037-077
483,Advent Pharma Ltd.,Adzuril Liquid,Toltrazuril,2.5 gm/100 ml,Oral Liquid,Veterinary,367-0038-077
484,Advent Pharma Ltd.,Flor Super Oral Solution,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,367-0039-077
485,Adova Pharmaceuticals Ltd.,Adpara Bolus Vet,Paracetamol,2 gm,Bolus,Veterinary,398-0001-077
486,Adova Pharmaceuticals Ltd.,Levaqure Bolus Vet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,398-0002-077
487,Adova Pharmaceuticals Ltd.,Advasol,Levamisole,1%,Syrup,Veterinary,398-0003-077
488,Adova Pharmaceuticals Ltd.,Adminth Bolus,Albendazole,600 mg,Bolus,Veterinary,398-0004-077
489,Adova Pharmaceuticals Ltd.,Thazine Bolus Vet,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,398-0005-077
490,Adova Pharmaceuticals Ltd.,Molaxivet Bolus,Meloxicam,100 mg,Bolus,Veterinary,398-0006-077
491,Adova Pharmaceuticals Ltd.,Adpyrin-D Powder (Vet),Sulfadiazine + Sulphadimidine + Sulphapyridine,1.66 gm + 1.66 gm + 1.66 gm,Powder,Veterinary,398-0007-077
492,Adova Pharmaceuticals Ltd.,A-Toril Powder (Vet),Allopurinol,5 gm/100 gm,Powder,Veterinary,398-0008-077
493,Adova Pharmaceuticals Ltd.,Salic Plus Powder,Acetylsalicylic Acid + Vitamin C,60 gm + 6.65 gm/100 gm,Powder,Veterinary,398-0009-077
494,Adova Pharmaceuticals Ltd.,Meqdaz Powder (Vet),Metronidazole,30 gm/100 gm,Water Soluble Powder,Veterinary,398-0010-077
495,Adova Pharmaceuticals Ltd.,Meqdaz Bolus (Vet),Metronidazole,2 gm,Bolus,Veterinary,398-0011-077
496,Adova Pharmaceuticals Ltd.,Vetphen Bolus (Vet),Diphenhydramine Hydrochloride,500 mg,Bolus,Veterinary,398-0012-077
497,Adova Pharmaceuticals Ltd.,Olinevet Powder,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,398-0013-077
498,Adova Pharmaceuticals Ltd.,Levaqur DS Bolus (Vet),Levamisole + Triclabendazole,750 mg + 1.2 gm,Bolus,Veterinary,398-0014-077
499,Adova Pharmaceuticals Ltd.,Advasol Powder (Vet),Levamisole,30%,Powder,Veterinary,398-0015-077
500,Adova Pharmaceuticals Ltd.,Adminth Suspension (Vet),Albendazole,10 gm/100 ml,Suspension,Veterinary,398-0016-077
501,Adova Pharmaceuticals Ltd.,Furisim Vet Bolus,Furosemide,2 gm,Bolus,Veterinary,398-0017-077
502,Adova Pharmaceuticals Ltd.,AdovaEnro (Vet),Enrofloxacin,100 mg/ml,Solution,Veterinary,398-0018-077
503,Adova Pharmaceuticals Ltd.,Adoxte (Vet),Oxytetracycline,20 gm/100 gm,Powder,Veterinary,398-0019-077
504,Adova Pharmaceuticals Ltd.,AdCflox (Vet),Ciprofloxacin,1 gm,Bolus,Veterinary,398-0020-077
505,Adova Pharmaceuticals Ltd.,AdovaDox (Vet),Doxycycline,100 mg/gm,Powder,Veterinary,398-0021-077
506,Adova Pharmaceuticals Ltd.,AdCflox (Vet),Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,398-0022-077
507,Adova Pharmaceuticals Ltd.,Chlorel (Vet),Chlortetracycline Hydrochloride,20 gm/100 gm,Powder,Veterinary,398-0024-077
508,Adova Pharmaceuticals Ltd.,AdLos (Vet),Tylosin,20 gm/100 gm,Powder,Veterinary,398-0025-077
509,Adova Pharmaceuticals Ltd.,AdNorflox (Vet),Norfloxacine,100 mg/ml,Solution,Veterinary,398-0026-077
510,Adova Pharmaceuticals Ltd.,Adoxter (Vet),Oxytetracycline,500 mg,Bolus,Veterinary,398-0027-077
511,Adova Pharmaceuticals Ltd.,Adotil (Vet),Tilmicosin,250 mg/ml,Oral Solution,Veterinary,398-0028-077
512,Adova Pharmaceuticals Ltd.,Adpoli (Vet),Amprolium,20%,Powder,Veterinary,398-0029-077
513,Adova Pharmaceuticals Ltd.,AToltra (Vet),Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,398-0030-077
514,Adova Pharmaceuticals Ltd.,AdClozine (Vet),Sulphaclozine,300 mg/gm,Powder,Veterinary,398-0031-077
515,Adova Pharmaceuticals Ltd.,AdLeflox (Vet) Powder,Levofloxacin,10 gm/100 gm,Oral Powder,Veterinary,398-0023-077
516,Adova Pharmaceuticals Ltd.,AdNeocin (Vet),Neomycin Sulphate,70 gm/100 gm,Powder,Veterinary,398-0032-077
517,Adova Pharmaceuticals Ltd.,AdMarbo (Vet),Marbofloxacin,50 mg,Bolus,Veterinary,398-0033-077
518,Adova Pharmaceuticals Ltd.,Gentava (Vet),Gentamicin,20 gm/100 gm,Oral Powder,Veterinary,398-0034-077
519,Adova Pharmaceuticals Ltd.,AdLinco (Vet),Lincomycin,44 mg/gm,Powder,Veterinary,398-0035-077
520,Albion Animal Feed Products (Veterinary),Oxybest 20% (Vet),Oxytetracycline,20 gm/100 gm,Powder,Veterinary,468-0001-077
521,Albion Animal Feed Products (Veterinary),Ciprofloxacin 10% Vet,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,468-0002-077
522,Albion Animal Feed Products (Veterinary),Carprovet,Carprofen,100 mg,Bolus,Veterinary,468-0003-077
523,Albion Animal Feed Products (Veterinary),Paracetamol Vet,Paracetamol,2 gm,Bolus,Veterinary,468-0004-077
524,Albion Animal Feed Products (Veterinary),Oxytetracycline Vet,Oxytetracycline,500 mg,Bolus,Veterinary,468-0005-077
525,Albion Animal Feed Products (Veterinary),LTD S (Vet),Levamisole + Triclabendazole,150 mg + 225 mg,Bolus,Veterinary,468-0006-077
526,Albion Animal Feed Products (Veterinary),LTD DS (Vet),Levamisole + Triclabendazole,1.2 gm + 1.8 gm,Bolus,Veterinary,468-0007-077
527,Beximco Pharmaceuticals Ltd.,Frelax,Liquid Paraffin + Magnesium Hydroxide,25 ml + 6 gm/100 ml,Oral Emulsion,Veterinary,186-0830-077
528,Bridge Pharmaceuticals Ltd.,Paracetamol,Paracetamol,2 gm,Bolus,Veterinary,085-0007-077
529,Bridge Pharmaceuticals Ltd.,Trodavet,Metronidazole,2 gm,Bolus,Veterinary,085-0008-077
530,Bridge Pharmaceuticals Ltd.,O-Tvet,Oxyclozanide + Tetramisole Hydrochloride,1.4 gm + 2 gm,Bolus,Veterinary,085-0009-077
531,Bridge Pharmaceuticals Ltd.,Bre-Zol,Albendazole,600 mg,Bolus,Veterinary,085-0011-077
532,Bridge Pharmaceuticals Ltd.,Negovet,Trichlorfon,100%,Powder,Veterinary,085-0012-077
533,Bridge Pharmaceuticals Ltd.,Proxacin 10,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,085-0013-077
534,Bridge Pharmaceuticals Ltd.,Livet 100,Oxytetracycline,10 gm/100 ml,Injection,Veterinary,085-0014-077
535,Bridge Pharmaceuticals Ltd.,Livet LA,Oxytetracycline,20 gm/100 ml,Injection,Veterinary,085-0015-077
536,Bridge Pharmaceuticals Ltd.,Nitrovet,Nitroxynil,25 gm/100 ml,Injection,Veterinary,085-0016-077
537,Bridge Pharmaceuticals Ltd.,Tysinvet,Tylosin,20 gm/100 ml,Injection,Veterinary,085-0017-077
538,Bridge Pharmaceuticals Ltd.,Buparvet,Buparvaquone,50 mg/ml,Injection,Veterinary,085-0018-077
539,Bridge Pharmaceuticals Ltd.,Irondex,Cyanocobalamin + Iron Dextran,100 mcg + 100 mg/ml,Injection,Veterinary,085-0019-077
540,Bridge Pharmaceuticals Ltd.,Bre-Sul,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,085-0022-077
541,Bridge Pharmaceuticals Ltd.,Broxvet,Choline + Cobalt + Cyanocobalamin + Ferrous Sulphate + Vitamin B1,9.1 mg + 50 mg + 20 mcg + 100 mg + 25 mg,Bolus,Veterinary,085-0023-077
542,Bridge Pharmaceuticals Ltd.,Livet,Oxytetracycline,1 gm,Bolus,Veterinary,085-0024-077
543,Bridge Pharmaceuticals Ltd.,Disure Powder,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,085-0025-077
544,Bridge Pharmaceuticals Ltd.,Tytarvet,Doxycycline Hydrochloride + Tylosin Tartrate,250 mg + 200 mg/gm,Powder,Veterinary,085-0026-077
545,Bridge Pharmaceuticals Ltd.,L-Trivet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,085-0027-077
546,Bridge Pharmaceuticals Ltd.,Toltrazuril Solution,Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,085-0034-077
547,Bridge Pharmaceuticals Ltd.,EDA Vet Injection,Vitamin A + Vitamin D3 + Vitamin E,5 Lac IU + 75000 IU + 50 mg/ml,Injection,Veterinary,085-0038-077
548,Bridge Pharmaceuticals Ltd.,Kamprovet,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,085-0032-077
549,Bridge Pharmaceuticals Ltd.,Maxcool Powder (Vet),Acetylsalicylic Acid + Ascorbic Acid,60 gm + 6.65 gm/100 gm,Powder,Veterinary,085-0035-077
550,Bridge Pharmaceuticals Ltd.,Proxacin,Ciprofloxacin,1 gm,Bolus,Veterinary,085-0037-077
551,Bridge Pharmaceuticals Ltd.,Clomisole,Closantel + Levamisole,75 mg + 100 mg/100 ml,Injection,Veterinary,085-0040-077
